,serialid,id,date_str,degrees_from_mean,max_temp,min_temp,type,year,station_name,longitude,latitude,geometry,index_right,STATE,NAME,FIPS
41385,1547768,USW00093729,2012-07-06,4.39,31.1,27.2,Weak Hot,2012,CAPE HATTERAS AP,-75.6219,35.2325,POINT (-75.6219 35.2325),25,NC,North Carolina,37
41386,1548297,USW00093729,2012-07-07,3.89,31.1,26.7,Weak Hot,2012,CAPE HATTERAS AP,-75.6219,35.2325,POINT (-75.6219 35.2325),25,NC,North Carolina,37
41387,1548841,USW00093729,2012-07-04,4.39,30.6,27.2,Weak Hot,2012,CAPE HATTERAS AP,-75.6219,35.2325,POINT (-75.6219 35.2325),25,NC,North Carolina,37
41388,1558396,USW00093729,2012-02-24,11.83,21.1,15.6,Weak Hot,2012,CAPE HATTERAS AP,-75.6219,35.2325,POINT (-75.6219 35.2325),25,NC,North Carolina,37
41389,1559934,USW00093729,2012-06-29,5.26,30.0,25.6,Weak Hot,2012,CAPE HATTERAS AP,-75.6219,35.2325,POINT (-75.6219 35.2325),25,NC,North Carolina,37
41390,1561439,USW00093729,2012-06-22,4.66,29.4,25.0,Weak Hot,2012,CAPE HATTERAS AP,-75.6219,35.2325,POINT (-75.6219 35.2325),25,NC,North Carolina,37
41391,1565381,USW00093729,2012-03-01,10.34,20.6,17.2,Weak Hot,2012,CAPE HATTERAS AP,-75.6219,35.2325,POINT (-75.6219 35.2325),25,NC,North Carolina,37
41392,1574598,USW00093729,2012-07-05,4.39,31.7,27.2,Weak Hot,2012,CAPE HATTERAS AP,-75.6219,35.2325,POINT (-75.6219 35.2325),25,NC,North Carolina,37
41393,1576509,USW00093729,2012-07-08,3.89,31.1,26.7,Weak Hot,2012,CAPE HATTERAS AP,-75.6219,35.2325,POINT (-75.6219 35.2325),25,NC,North Carolina,37
41394,1576892,USW00093729,2012-07-09,4.39,31.7,27.2,Weak Hot,2012,CAPE HATTERAS AP,-75.6219,35.2325,POINT (-75.6219 35.2325),25,NC,North Carolina,37
41395,1579466,USW00093729,2012-11-30,-10.64,14.4,-0.6,Weak Cold,2012,CAPE HATTERAS AP,-75.6219,35.2325,POINT (-75.6219 35.2325),25,NC,North Carolina,37
45409,966918,USC00319476,2013-09-01,6.13,33.3,22.2,Weak Hot,2013,WILSON 3 SW,-77.9456,35.6939,POINT (-77.9456 35.6939),25,NC,North Carolina,37
45410,969639,USC00319476,2013-12-22,31.62,26.7,18.3,Strong Hot,2013,WILSON 3 SW,-77.9456,35.6939,POINT (-77.9456 35.6939),25,NC,North Carolina,37
45411,971555,USC00319476,2013-07-16,4.61,34.4,25.0,Weak Hot,2013,WILSON 3 SW,-77.9456,35.6939,POINT (-77.9456 35.6939),25,NC,North Carolina,37
45412,972590,USC00319476,2013-07-19,4.01,32.2,24.4,Weak Hot,2013,WILSON 3 SW,-77.9456,35.6939,POINT (-77.9456 35.6939),25,NC,North Carolina,37
45413,985672,USC00319476,2013-01-30,13.11,23.9,9.4,Weak Hot,2013,WILSON 3 SW,-77.9456,35.6939,POINT (-77.9456 35.6939),25,NC,North Carolina,37
45414,986136,USC00319476,2013-01-31,12.51,23.3,5.0,Weak Hot,2013,WILSON 3 SW,-77.9456,35.6939,POINT (-77.9456 35.6939),25,NC,North Carolina,37
45415,986660,USC00319476,2013-07-12,-7.72,24.4,22.2,Weak Cold,2013,WILSON 3 SW,-77.9456,35.6939,POINT (-77.9456 35.6939),25,NC,North Carolina,37
45416,992466,USC00319476,2013-11-25,-10.44,7.2,-6.1,Weak Cold,2013,WILSON 3 SW,-77.9456,35.6939,POINT (-77.9456 35.6939),25,NC,North Carolina,37
45417,995565,USC00319476,2013-12-06,31.02,26.1,18.3,Strong Hot,2013,WILSON 3 SW,-77.9456,35.6939,POINT (-77.9456 35.6939),25,NC,North Carolina,37
45418,997401,USC00319476,2013-09-02,6.13,31.7,22.2,Weak Hot,2013,WILSON 3 SW,-77.9456,35.6939,POINT (-77.9456 35.6939),25,NC,North Carolina,37
45419,1002361,USC00319476,2013-05-21,7.26,27.8,20.6,Weak Hot,2013,WILSON 3 SW,-77.9456,35.6939,POINT (-77.9456 35.6939),25,NC,North Carolina,37
45420,1004838,USC00319476,2013-01-26,-12.99,-2.2,-5.0,Weak Cold,2013,WILSON 3 SW,-77.9456,35.6939,POINT (-77.9456 35.6939),25,NC,North Carolina,37
45421,1007639,USC00319476,2013-01-14,27.91,24.4,13.3,Strong Hot,2013,WILSON 3 SW,-77.9456,35.6939,POINT (-77.9456 35.6939),25,NC,North Carolina,37
45422,1008205,USC00319476,2013-01-15,14.81,25.6,7.2,Weak Hot,2013,WILSON 3 SW,-77.9456,35.6939,POINT (-77.9456 35.6939),25,NC,North Carolina,37
45423,1013885,USC00319476,2013-10-05,8.79,31.7,17.2,Weak Hot,2013,WILSON 3 SW,-77.9456,35.6939,POINT (-77.9456 35.6939),25,NC,North Carolina,37
45424,1015945,USC00319476,2013-07-21,4.01,31.7,24.4,Weak Hot,2013,WILSON 3 SW,-77.9456,35.6939,POINT (-77.9456 35.6939),25,NC,North Carolina,37
45425,1016086,USC00319476,2013-07-20,4.01,32.2,24.4,Weak Hot,2013,WILSON 3 SW,-77.9456,35.6939,POINT (-77.9456 35.6939),25,NC,North Carolina,37
45426,1021625,USC00319476,2013-11-01,15.06,26.1,19.4,Weak Hot,2013,WILSON 3 SW,-77.9456,35.6939,POINT (-77.9456 35.6939),25,NC,North Carolina,37
45427,1510844,USC00319476,2012-03-15,11.06,28.3,11.7,Weak Hot,2012,WILSON 3 SW,-77.9456,35.6939,POINT (-77.9456 35.6939),25,NC,North Carolina,37
45428,1513113,USC00319476,2012-03-16,11.06,28.3,11.7,Weak Hot,2012,WILSON 3 SW,-77.9456,35.6939,POINT (-77.9456 35.6939),25,NC,North Carolina,37
45429,1517448,USC00319476,2012-08-07,4.22,33.3,23.9,Weak Hot,2012,WILSON 3 SW,-77.9456,35.6939,POINT (-77.9456 35.6939),25,NC,North Carolina,37
45430,1520680,USC00319476,2012-07-19,4.01,33.3,24.4,Weak Hot,2012,WILSON 3 SW,-77.9456,35.6939,POINT (-77.9456 35.6939),25,NC,North Carolina,37
45431,1526218,USC00319476,2012-10-31,-12.91,10.0,4.4,Weak Cold,2012,WILSON 3 SW,-77.9456,35.6939,POINT (-77.9456 35.6939),25,NC,North Carolina,37
45432,1526596,USC00319476,2012-10-30,-12.31,10.6,5.0,Weak Cold,2012,WILSON 3 SW,-77.9456,35.6939,POINT (-77.9456 35.6939),25,NC,North Carolina,37
45433,1530538,USC00319476,2012-03-24,24.0,28.3,16.7,Strong Hot,2012,WILSON 3 SW,-77.9456,35.6939,POINT (-77.9456 35.6939),25,NC,North Carolina,37
45434,1535941,USC00319476,2012-09-08,6.13,30.0,22.2,Weak Hot,2012,WILSON 3 SW,-77.9456,35.6939,POINT (-77.9456 35.6939),25,NC,North Carolina,37
45435,1537905,USC00319476,2012-09-03,6.73,33.3,22.8,Weak Hot,2012,WILSON 3 SW,-77.9456,35.6939,POINT (-77.9456 35.6939),25,NC,North Carolina,37
45436,1538668,USC00319476,2012-09-04,6.13,33.3,22.2,Weak Hot,2012,WILSON 3 SW,-77.9456,35.6939,POINT (-77.9456 35.6939),25,NC,North Carolina,37
45437,1539381,USC00319476,2012-09-05,6.13,31.7,22.2,Weak Hot,2012,WILSON 3 SW,-77.9456,35.6939,POINT (-77.9456 35.6939),25,NC,North Carolina,37
45438,1540003,USC00319476,2012-09-06,6.73,32.2,22.8,Weak Hot,2012,WILSON 3 SW,-77.9456,35.6939,POINT (-77.9456 35.6939),25,NC,North Carolina,37
45439,1540415,USC00319476,2012-09-07,6.13,32.8,22.2,Weak Hot,2012,WILSON 3 SW,-77.9456,35.6939,POINT (-77.9456 35.6939),25,NC,North Carolina,37
45440,1540812,USC00319476,2012-10-09,-11.81,11.1,9.4,Weak Cold,2012,WILSON 3 SW,-77.9456,35.6939,POINT (-77.9456 35.6939),25,NC,North Carolina,37
